                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.65926,                 0.6582,                0.99761,                0.71041,                0.86667,                0.82558,                0.52763,                 1.3217,                 1.4427,                 1.5551,              0.0013781,              0.0013781,              0.0013781
                    110,                0.65942,                0.62335,                0.98827,                0.70496,                0.86667,                0.82071,                0.51364,                 1.3503,                 1.5428,                 1.5872,              0.0013776,              0.0013776,              0.0013776
                    111,                0.59758,                0.56349,                0.95218,                0.68533,                0.84195,                0.81305,                0.51364,                 1.4612,                 1.5817,                 1.7288,              0.0013771,              0.0013771,              0.0013771
                    112,                0.66211,                0.60413,                0.98821,                0.69305,                0.83592,                0.82336,                0.50574,                 1.4738,                 1.4705,                 1.7582,              0.0013767,              0.0013767,              0.0013767
                    113,                0.57735,                0.54077,                0.93705,                0.74014,                0.78042,                0.81953,                0.47529,                 1.4685,                 1.2516,                 1.7564,              0.0013762,              0.0013762,              0.0013762
                    114,                0.64016,                0.58321,                0.97697,                0.74889,                0.82459,                0.81413,                0.48587,                 1.4943,                 1.2441,                 1.7689,              0.0013757,              0.0013757,              0.0013757
                    115,                0.66218,                0.59126,                0.99495,                0.73825,                0.83875,                0.80424,                0.48593,                 1.4935,                 1.2906,                 1.7312,              0.0013752,              0.0013752,              0.0013752
                    116,                0.63347,                0.55736,                 0.9807,                0.79932,                0.74728,                 0.8155,                0.51653,                 1.4499,                 1.2784,                 1.6981,              0.0013748,              0.0013748,              0.0013748
                    117,                0.57656,                0.51999,                0.93735,                0.77323,                0.78662,                0.83298,                 0.5233,                 1.4848,                 1.2461,                 1.6965,              0.0013743,              0.0013743,              0.0013743
                    118,                0.59811,                0.55715,                0.94507,                0.73543,                0.80214,                0.82251,                0.49773,                 1.5407,                 1.3194,                 1.7078,              0.0013738,              0.0013738,              0.0013738
                    119,                0.59108,                0.56435,                0.94864,                0.72038,                0.75741,                0.81468,                0.49865,                 1.5501,                 1.3413,                 1.6934,              0.0013734,              0.0013734,              0.0013734
                    120,                0.58771,                0.52365,                0.94764,                0.80626,                 0.7358,                0.79586,                0.50117,                 1.5081,                 1.2628,                 1.6615,              0.0013729,              0.0013729,              0.0013729
